Is skill required?	Does the attack require significant resources?	Can the defenses fail?	Does the defense cover all access points to the asset?	Are there any pre-conditions to the attack?	Is the vulnerability always present?	Consequences from internal sources?	Consequences from external sources?	Significant business value?	Significant repair cost?	Threat	Protection	Effectiveness	Occurrence	Likelihood	Harm	Valuation	Impact	Risk
FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	L	P	C	P	H	L	P	L	M
FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	L	P	C	P	H	L	S	L	M
FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	L	P	C	P	H	L	S	L	M
FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	L	P	C	P	H	L	E	M	H
FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	L	P	C	P	H	M	P	L	M
FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	L	P	C	P	H	M	S	M	H
FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	L	P	C	P	H	M	S	M	H
FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	L	P	C	P	H	M	E	H	H
FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	L	P	C	P	H	M	P	L	M
FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	L	P	C	P	H	M	S	M	H
FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	L	P	C	P	H	M	S	M	H
FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	L	P	C	P	H	M	E	H	H
FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	L	P	C	P	H	D	P	M	H
FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	L	P	C	P	H	D	S	H	H
